AC_NO,HEAD,total_spend_pkr,first_txn,last_txn,months_active
5419,Labour charges-corn(DAL),4205611.0,2023-07-27,2025-10-09,28
394,Mark up on Schon Bank,4027197.76,2023-10-16,2023-12-30,2
1009,Germination Claim,3921089.0,2023-07-31,2025-10-02,23
3555,Discount-wheat seed,3386950.0,2024-11-30,2025-09-30,6
2423,Freight & octroi-corn seed,3386170.0,2023-07-04,2025-10-17,27
4933,Vehicle 2.OD POL 4382 Dr. Anwar Sb.,2646100.0,2023-07-05,2025-10-14,24
6469,Labour charges(Daily Marketing staf,2374200.0,2023-07-31,2025-09-30,27
232,Fee & Subscription,2372265.0,2023-08-07,2025-09-30,15
96,Dep.on Vehicles Factory,2340235.0,2023-12-23,2025-03-31,2
3903,Wood Expenses(Dryer),2218737.0,2023-08-22,2025-10-02,12
5404,Labour charges-corn(DAL),2174952.0,2023-07-20,2025-09-30,27
4217,Fertilizer Exp,2113041.0,2023-09-30,2024-12-31,4
506,Additional Discount,2071436.0,2023-07-31,2025-08-31,13
306,Repair & Maint. Plant & Machinery,2061751.0,2023-07-04,2025-10-18,23
6650,Germination Claim Wheat,1969650.0,2024-12-14,2025-05-20,4
4934,Vehicle 2.OD Repair 4382 Dr.Sb,1821961.0,2023-07-05,2025-06-23,22
1613,Freight & Octroi - wheat seed,1780105.0,2023-10-16,2025-02-08,8
4804,Lease expenses,1680000.0,2023-07-14,2025-09-16,24
3745,Farm Lease Expenses,1675124.0,2023-12-31,2024-05-31,3
4348,Lease exp,1649699.0,2023-09-30,2023-12-31,2
305,Sales Promotion Expenses,1564528.0,2023-10-31,2025-09-30,22
260,Advertisement Expenses-selling,1498863.0,2023-07-06,2025-10-18,28
2421,Ploughing expenses-fty,1488000.0,2023-07-14,2025-09-16,24
294,Entertainment  (Factory),1485249.0,2023-07-04,2025-10-14,28
2165,Labour charges-Cotton Seed,1482386.0,2023-11-23,2025-05-22,15
4213,Labour charges,1459865.0,2023-07-17,2025-02-25,15
3173,Freight & Octroi,1389623.0,2023-11-21,2023-11-28,1
6175,Vehicle R&M POL 2260 Rizwan Sb.,1266850.0,2023-07-08,2025-10-10,27
3434,Discount-on delinted of cottonseed,1256285.0,2024-09-30,2025-09-30,7
2729,Purchase of SSG(Lines seed),1205287.0,2023-11-30,2024-12-31,2
6139,Vehicle POL LEH-7012 Hassan Shah,1204949.0,2023-07-04,2025-10-18,28
4182,Labour charges,1171887.0,2024-10-24,2025-10-18,13
6442,Labour Charges Dryer Corn,1164399.0,2023-07-27,2025-03-08,10
5900,Micronutrient expenses,1104800.0,2023-09-14,2025-10-09,25
5427,labour charges-wheat(DAL),1094865.0,2023-08-31,2025-08-06,15
5077,Ploughing expenses,1079680.0,2023-10-31,2025-03-22,3
5423,labour charges-paddy,1066106.0,2023-08-23,2025-09-09,22
5403,Labour charges(DAL)Pddy,1051708.0,2023-08-23,2025-08-31,23
4906,Freight & Octroi Paddy,1050750.0,2023-07-07,2025-06-26,12
238,Canteen Expenses,1013007.0,2023-07-04,2025-10-10,28
241,Audit Fee,1000000.0,2024-06-30,2024-12-31,2
6082,"Harvesting,choping & stacking Exp",994580.0,2023-11-21,2024-05-31,3
6505,Vehicle R&M POL 118,986618.0,2023-10-05,2025-09-30,24
240,Legal & Professional Charges,982980.0,2023-07-14,2025-09-30,27
231,Electricity Charges (H.O),952081.0,2023-07-14,2025-09-30,21
6492,Vehicle R&M Pol 418 (Akhtar),951358.0,2023-09-22,2025-08-31,19
4412,Ginning charges-kappas,899342.0,2023-07-22,2024-09-16,5
6631,Vehicle R&M POL PA-443,871810.0,2025-03-19,2025-10-14,8
5786,Lease Expenses,862572.0,2024-03-31,2025-09-30,3
2166,Labour charges-wheat,855775.0,2023-07-27,2025-07-23,20
3927,Labour charges,828912.0,2023-07-07,2023-11-28,5
5410,Discount on sale of sesame seed,815300.0,2024-09-30,2025-09-30,4
4897,Discount of Paddy,815100.0,2024-08-20,2025-09-30,5
226,"Rent, Rates & Taxes",815043.0,2023-07-11,2025-10-15,12
6521,Pesticide expenses,811886.0,2023-09-30,2023-12-31,2
6192,Baling expenses-silage,805644.0,2024-03-09,2024-09-30,2
4587,Hybrid Testing Fee,788400.0,2023-09-21,2025-09-12,13
4650,Purchase of Sulphor (Tiger Brand),786147.0,2023-08-11,2025-09-25,12
1596,Purchase of Processed wheat,778500.0,2023-10-30,2024-11-04,4
4820,Fertilizer Exp,757175.0,2023-09-30,2023-12-31,2
4945,Vehicle POL LZH-5455,752110.0,2023-10-25,2025-06-30,21
2169,Labour charges-Cotton seed,747104.0,2023-12-19,2025-05-31,12
182,Freight & Octroi-wheat,724492.0,2023-10-31,2025-08-09,7
5932,Incentive staff-selling,712456.0,2024-05-21,2025-05-16,2
1726,Salary & wages,704000.0,2023-10-31,2025-01-31,16
4396,Fertilizer exp,703771.0,2023-09-30,2023-12-31,2
6024,Purchase of Oil Seed,680000.0,2025-07-18,2025-07-18,1
3658,Tag & Sticker Expenses,675798.0,2023-08-25,2025-10-16,18
3746,Telephone Expenses,669867.0,2024-05-06,2024-05-28,1
4962,Vehicle R&M POL 6677 Sohail Sb,656266.0,2023-07-31,2025-09-30,18
6486,House Rent (G.M.),633720.0,2023-09-07,2025-10-15,26
6437,Pesticide Expenses,633700.0,2023-07-11,2025-09-30,22
1608,Fertilizer,627393.0,2024-03-31,2025-09-30,2
4214,Ploughing expenss,601474.0,2023-08-09,2024-11-20,5
4394,Lease expense,600000.0,2023-08-31,2023-08-31,1
291,Printing & Stationery  (Factory),583981.0,2023-07-04,2025-10-20,28
237,Entertainment (H.O),578579.0,2023-07-31,2025-09-30,21
3859,Picking charges of kappas,564517.0,2023-07-07,2023-12-31,3
3120,Labour charges-SSG,560435.0,2024-02-06,2025-06-26,9
4946,Vehicle Repair LZH-5455,549090.0,2023-10-25,2025-06-30,21
203,Insurance Stock,548150.0,2024-06-30,2025-08-11,3
4937,Vehicle POL 2995 Aslam Sb.,543190.0,2023-07-04,2025-10-08,28
2747,Fertilizer Expenses,542466.0,2023-12-31,2023-12-31,1
6176,Vehicle R&M Repair 2260 Rizwan Sb.,541480.0,2023-07-08,2025-09-22,22
2752,Entertainment Expenses,540720.0,2023-12-31,2023-12-31,1
5722,Vehicle POL LEE-17-7430 Hafiz Qadir,526690.0,2023-07-31,2025-06-30,23
183,Premium on Wheat Seed,514260.0,2024-04-30,2025-05-31,3
230,Telephone & Telex Charges (H.O),508120.0,2023-07-31,2025-09-30,19
298,Freight-sesame seed,504400.0,2023-12-06,2025-07-31,12
6140,Vehicle Repair LEH-7012 Hassan Shah,502970.0,2023-07-10,2025-10-18,27
198,E.O.B.I,500350.0,2023-07-31,2025-09-30,27
228,Vehicle Running & Maint. (H.O),488579.0,2023-07-31,2025-09-30,15
6386,Land Lease Exp,475743.0,2023-12-31,2023-12-31,1
4802,Lease expenses,475000.0,2024-05-31,2024-05-31,1
4832,Fertilizer Exp,472500.0,2025-05-31,2025-05-31,1
2120,Labour charges,463697.0,2024-02-01,2024-06-30,5
277,Bank Charges,457076.94,2023-07-05,2025-10-18,28
3442,Social Security,454440.0,2023-07-31,2025-09-30,27
288,Staff Welfare  (Factory),451461.0,2023-07-04,2025-09-12,23
4792,Ploughing Exp,450200.0,2023-08-05,2024-09-16,4
1142,Repair & Maintenance Electrical,443152.0,2023-08-11,2025-10-15,24
246,Misc. Expenses,439324.0,2023-07-04,2025-10-15,28
235,Travelling & Conveyance Others,437518.0,2023-07-04,2025-10-14,28
2749,Labour charges,430718.0,2023-07-17,2023-12-31,3
197,Social security,427200.0,2023-07-31,2025-09-30,27
377,Gardening & Plantation,426870.0,2023-12-06,2025-08-19,11
2776,Farm Lease,421950.0,2024-03-31,2024-05-31,2
3139,Fertilizer expenss,412856.0,2024-06-30,2025-06-28,3
5632,Repair & Renovation HO,412385.0,2023-07-14,2025-09-16,25
356,E.O.B.I Factory,410079.0,2023-07-31,2025-09-30,27
5424,labour charges-cotton,404779.0,2023-07-27,2025-06-30,14
5633,Misc.Expenses-HO,401567.0,2023-09-30,2025-09-30,19
4938,Vehicle Repair 2995 Aslam Sb.,395250.0,2023-07-08,2025-10-08,28
4961,Vehicle R&M Repair 9700,386850.0,2023-09-02,2025-06-30,5
4219,Irrigation expenses,376283.0,2023-08-23,2024-11-30,5
6296,Vehicle POL M/C ALF 6829 Hassan Raz,374611.0,2023-07-22,2025-10-08,26
2748,Ploughing Expenses,374107.0,2023-12-31,2023-12-31,1
265,Misc. Expenses-Selling,373488.0,2023-07-05,2025-10-18,28
2567,Purchase of wheat seed,368950.0,2023-08-15,2024-12-30,6
1989,Labour charges,366943.0,2023-08-23,2025-08-02,22
293,Electricity,348846.0,2023-07-18,2024-12-31,18
6632,Vehicle R&M Repair PA-443,347720.0,2025-03-19,2025-10-01,8
3635,Wheat seed expenses,343900.0,2024-01-19,2025-03-15,2
247,Freight & Oct. General,343670.0,2023-07-14,2025-10-04,27
4960,Vehicle R&M POL 9700 Zafar Iqbal,329435.0,2023-08-17,2025-09-30,20
3743,Entertainment expenses,316450.0,2023-11-24,2024-01-12,3
5422,labour charges sesame seed,314189.0,2023-09-09,2025-10-09,17
5949,Fertilizer Expenses,307067.0,2024-12-31,2025-09-30,4
5636,R&M Generator (HO),304726.0,2023-07-14,2025-09-16,24
5845,Pesticide expenses,302102.0,2024-03-31,2025-09-30,3
2443,Pesticide Consumed,302065.0,2025-09-30,2025-09-30,1
6299,Vehicle POL KWM-2868 Nazar Ali,299500.0,2023-07-27,2025-10-18,28
3737,Fertilizer Expenses,297230.0,2023-12-31,2024-03-31,2
3736,Ploughing Expenses,284656.0,2023-10-31,2024-01-16,4
6555,Irrigation Expenses,281088.0,2024-01-13,2024-07-26,6
4782,Diesel for Tractor,277314.0,2023-08-11,2024-12-30,9
2604,Freight on purchases-Kappas,270237.0,2025-04-08,2025-04-24,1
1624,Freight & Octori-cotton seed,268650.0,2023-10-10,2025-10-17,18
1191,Shifting charges - wheat,266993.0,2023-12-31,2025-10-08,4
3441,EOBI Staff,266030.0,2024-07-31,2025-06-30,12
2773,Fertilizer Expenses,264085.0,2024-03-31,2024-06-30,2
6226,Vehicle R&M POL 371 (FRK),262663.0,2023-07-14,2025-10-14,15
201,Labortary Expenses,247190.0,2023-07-10,2025-09-30,22
4788,Pesticide Exp Okra,244876.0,2023-09-30,2024-12-31,3
227,Printing & Stationery H.O,237099.0,2023-07-31,2025-09-30,17
205,Insurance Plant & Machinery,236645.0,2024-06-30,2025-08-11,3
4939,Vehicle POL 6793   Aslam Shakir,234000.0,2023-07-04,2025-10-18,25
3922,Fertilizer exp,233915.0,2023-09-30,2023-09-30,1
2750,Pesticide Expenses,232687.0,2023-12-31,2023-12-31,1
1611,Electricity Expenses,227461.0,2023-08-03,2025-10-18,8
3833,Fertilizer Exp,227399.0,2025-09-30,2025-09-30,1
6047,Freight & Octroi Purchase of Kappas,226305.0,2023-07-07,2023-11-23,3
2445,Processing discount,215325.0,2024-03-09,2024-05-31,2
2775,Labour Expenses,214200.0,2024-02-06,2024-06-06,5
6310,Vehicle POL KWM-19-3348 Zain Ul Abi,212530.0,2023-08-07,2025-10-16,24
6511,Travelling & Conveyance H.O.,205875.0,2023-07-31,2025-06-23,9
6513,CCTV Expenses,205730.0,2023-10-20,2023-12-16,2
6490,Vehicle R&M Repair 418(Akhtar),204312.0,2023-09-21,2025-08-31,19
6431,Labour charges chili,202329.0,2023-07-27,2023-12-11,6
5159,Pesticide exp,201399.0,2024-09-30,2025-06-30,4
6680,Vehicle R&M POL LEC 9352,198000.0,2025-08-07,2025-10-18,3
4790,Telephone Exp,195670.0,2024-09-30,2024-12-31,2
6516,Vehicle R&M Repair 118,195390.0,2023-10-25,2025-09-30,22
3183,Labour charges,194278.0,2023-09-08,2025-06-30,13
5893,Wheat Roguing,193300.0,2024-03-21,2025-04-17,3
4963,Vehicle R&M Repair 6677 Sohail Sb,190770.0,2023-09-30,2025-08-31,8
2177,Moboil for generator consumed,190000.0,2024-09-30,2025-03-31,2
6302,Vehicle POL KWK-20-7778 Khaliq Dad,187240.0,2023-08-07,2025-10-17,26
6306,Vehicle POL KWM-17-4525 Haider Abba,187220.0,2023-08-03,2025-09-30,26
6565,Fertilizer Expenses-Okra,185744.0,2024-03-31,2024-06-30,2
3390,Fertilizer Exp.,182815.0,2025-03-31,2025-06-28,2
6255,Telephone Exp Fty PTCL,178784.29,2023-08-10,2025-09-30,22
3976,Lease expenses,176754.0,2023-09-30,2023-09-30,1
2122,fertilizer expenses,175322.0,2024-03-31,2024-06-30,2
6308,Vehicle POL KWK-20-8845 Shahid Sajj,175088.0,2023-08-07,2025-10-17,25
244,Repair & Maint. Office Equipment,174385.0,2023-07-06,2025-09-22,25
3423,Cotton seed expenses,174000.0,2024-01-31,2024-03-05,3
6330,Vehicle POL AGC-21-3228 Abdul Rauf,172420.0,2023-08-07,2025-09-30,20
357,E.O.B.I Factory,171950.0,2023-07-31,2025-09-30,27
6304,Vehicle POL 6793 Subhan Ali,170600.0,2023-08-17,2025-08-27,23
3920,Pesticide Expenses,169571.0,2023-09-30,2023-12-31,2
2607,Freight & octroi-packing material,169230.0,2023-07-14,2025-10-15,25
6012,Vehicle R&M POL LE-7677 Akhtar Sb.,167425.0,2023-07-31,2023-10-02,4
2280,Labour charges-Okra,166101.0,2023-08-23,2025-10-09,13
6312,Vehicle POL-KWM-17-7032 M.Khalid,164820.0,2023-07-22,2025-09-30,26
461,Education Cess,160278.0,2023-07-31,2025-09-19,22
3544,Labour charges,160095.0,2024-02-22,2024-11-06,10
763,Social Security                 (G),159840.0,2024-07-31,2025-06-30,12
3258,Fertilizer Exp,153493.0,2023-09-30,2023-12-31,2
1924,Tax consultency,150000.0,2024-06-30,2024-06-30,1
2762,Irrigation Expenses,149888.0,2025-03-22,2025-06-27,4
6472,Vehicle R&M POL 155 AEJ(Dr.Shahid),149684.0,2023-07-31,2024-03-06,7
3740,Pesticide Expenses,148275.0,2024-03-31,2024-06-30,2
3869,Consultency charges-ISO,148190.0,2024-01-15,2024-08-29,8
2744,Accomodation / Residence Expenses,147220.0,2023-08-09,2025-06-18,10
5948,Pesticide Corn Exp,145787.0,2024-12-31,2025-09-30,4
4385,Freight & Octroi,144600.0,2023-08-03,2025-02-25,12
4519,Labour charges,144270.0,2023-09-04,2024-01-26,5
4787,Labour Charges Okra,144171.0,2023-08-23,2024-12-30,9
3125,Labour charges,142899.0,2023-08-03,2023-11-30,4
3735,labour charges,142775.0,2023-11-22,2024-04-09,6
5769,Ploughing Expenses -Riffat Farm,141992.0,2023-10-31,2025-09-03,3
3085,Irrigation expense,141870.0,2023-08-03,2023-10-31,3
2836,Samples-corn seed,140464.0,2023-08-31,2025-05-15,6
6297,Vehicle ALF-6829 Repair Hassan Raza,134020.0,2023-07-22,2025-09-30,24
4956,Diesel for tractor-okra,127950.0,2023-08-29,2024-09-12,3
3567,Discount-corn seed,127512.0,2024-03-31,2024-03-31,1
5039,Pesticide expeses,127500.0,2025-05-31,2025-05-31,1
2018,Fertilizer Expenses,126716.0,2023-09-30,2025-06-28,6
1561,Freight& Octroi on purchases paddy,126100.0,2023-08-19,2024-05-15,5
6324,Vehicle POL KWN-17-4123 Naveed,125840.24,2023-07-04,2025-10-09,23
229,Postal & Courier Charges,120928.0,2023-07-22,2025-10-18,28
5031,Javi seed,120000.0,2024-10-05,2024-12-17,3
6510,R&M Office Equipment H.O.,118500.0,2023-07-31,2023-12-23,4
5931,Misc Expenses,118281.0,2024-09-20,2025-05-17,9
5642,Telephone Expenses-Director,117444.0,2023-07-27,2025-10-09,22
2281,Labour charges-SSG,116931.0,2023-12-11,2025-05-13,13
2069,Annual Listinf Feee(KSE & LSE),116500.0,2024-07-31,2024-12-30,2
5946,Freight & Octroi-Raya,115900.0,2023-09-20,2025-04-09,10
5426,Labour charges-cotton(DAL),115805.0,2023-07-20,2025-09-19,13
5149,Telephone expenses,114000.0,2025-03-11,2025-03-31,1
200,Repair & Maint,113509.0,2023-11-17,2024-12-30,4
5132,Javi Harvesting 42/10-R,113433.0,2024-09-25,2024-12-31,2
4349,Lease exp,113178.0,2025-09-30,2025-09-30,1
4952,Ploughing expenses,112450.0,2025-05-20,2025-06-30,2
3827,Audit Fee - ISO,112400.0,2023-12-31,2024-02-29,3
3083,Fertilizer Expenses,112045.0,2023-11-16,2024-05-25,3
3913,Irrigation expenses,111237.0,2023-07-17,2023-11-06,5
5673,Commission on sale of Raya Seed,110710.0,2023-12-06,2024-05-18,3
5593,audit Fee-ISO,110000.0,2023-10-31,2025-01-18,2
6652,Discount of Afgoyee Seed,109000.0,2024-08-17,2025-09-30,4
3794,Labour charges,106930.0,2025-07-19,2025-10-18,4
6512,Telephone Ptcl H.O.,106920.0,2023-09-30,2024-05-31,6
262,Veh. Running & Maint.General,105170.0,2023-07-31,2025-05-19,13
5723,Vehicle RepairLEE-17-7430 Haifz Qad,105150.0,2023-07-31,2025-06-30,17
3796,Irrigation Expenses,104430.0,2025-07-07,2025-10-06,4
6507,CCTV Installaation Exp.,102510.0,2023-10-18,2023-10-18,1
2606,Freight & Octroi-chemicals,102200.0,2023-07-10,2025-10-17,22
6679,Vehicle R&M Repair LEC-9352,100750.0,2025-08-09,2025-09-30,2
6488,Labour Charge Raya,100750.0,2023-09-09,2025-09-24,9
4637,Ploughing Exp SSG,100600.0,2023-08-31,2023-12-15,2
4940,Vehicle Repair 6793 Aslam Shakir,97300.0,2023-07-27,2025-10-18,18
5120,Vehicle R&M POL LEC-1186 Rizwan Sb,96000.0,2023-07-17,2024-04-30,5
6300,Vehicle Repair-KWM-19-2868 Nazar Ai,93930.0,2023-07-27,2025-10-18,27
2774,Irrigation Expenses,93883.0,2024-02-15,2024-05-25,4
2899,Picking charges-SSG,93730.0,2025-03-19,2025-06-27,4
2129,Ploughing Expenses,93380.0,2024-01-31,2024-01-31,1
6293,Vehicel R&M POL M/C Zakriya,93311.0,2023-07-31,2025-06-24,18
3766,Samples-cotton seed,93000.0,2024-03-24,2025-08-06,3
1037,Charity & Donation,92540.0,2024-12-27,2025-09-30,3
4282,Labour charges,92167.0,2024-03-28,2024-08-26,5
3547,Irrigation expenss,91500.0,2024-03-16,2024-09-20,6
3251,Freight & Octroi-purchase cotton sd,90250.0,2023-10-17,2024-12-05,3
3081,Fertilizer expenses,89486.0,2023-09-30,2023-09-30,1
5643,Postal & Courier charges HO,88753.0,2023-07-31,2025-06-30,16
3738,Irrigation Expenses,87387.0,2024-02-15,2024-04-15,3
3542,Fertilizer Expenses,87199.0,2024-06-30,2024-09-30,2
4218,Pesticide Expenses,86391.0,2024-09-30,2024-12-31,2
3591,Ploughing Expenses,85650.0,2025-01-21,2025-02-14,2
4378,Misc expenses,85240.0,2023-09-12,2025-01-20,8
5592,Consultency Fee-ISO,85000.0,2023-12-22,2025-01-18,2
6328,Vehicle POL AGB-6545 Faisal Driver,82150.0,2023-07-11,2025-10-01,27
4791,R&M Tractor],81570.0,2023-12-31,2024-12-27,8
6648,Germination Claim Cotton Seed,81000.0,2025-03-04,2025-05-15,2
3986,Freight & Octroi-wheat,80000.0,2023-07-07,2023-12-15,6
3443,Social security,79902.0,2024-07-31,2025-06-30,12
3463,Entertainmetn-Mfg,77314.0,2023-07-04,2025-08-31,19
297,Vehicle Running & Maint.Gen(Factor,76986.0,2023-08-17,2025-09-17,24
3136,Ploughing Expenses,76920.0,2024-01-31,2025-05-20,3
801,Travelling & conv. Others       (G),76377.0,2025-09-05,2025-09-30,1
5033,Labour charges,76225.0,2024-09-13,2024-12-10,4
5406,Labour charges Sesame(DAL),75695.0,2023-08-31,2025-09-30,16
6509,Telephone Exp Net H.O.,75500.0,2023-07-31,2025-09-30,5
6623,Importer License Fee FSC & RD,75000.0,2025-01-15,2025-01-15,1
3134,Labour charges,73944.0,2023-11-28,2024-10-09,4
1103,Purchase of Raw Material (Bursom,73800.0,2023-09-02,2025-09-19,2
6311,Vehicle Repair KWM-19-3348 Zain Ul,73460.0,2023-08-07,2025-10-16,23
2329,Labour charges-corn,71867.0,2023-07-27,2023-08-07,2
2125,Vehicle R&M POL & Repair,71800.0,2024-01-27,2024-02-28,2
3793,Ploughing expenses,69750.0,2025-08-19,2025-09-03,2
3431,Lease expenses,69630.0,2023-09-30,2023-09-30,1
6309,Vehicle Repair KWK-20-8845 Shahid S,68122.0,2023-08-07,2025-10-17,25
6307,Vehicle Repair KWM17-4525 Haider A,67920.0,2023-08-03,2025-09-30,24
1719,Electricity Expenses Bedian,67609.0,2023-10-11,2025-02-10,17
1623,Freight & Octroi-Mungbean,67200.0,2025-07-01,2025-08-05,2
3392,Pesticide expenses,66801.0,2023-09-30,2023-12-31,2
6574,House Rent (Faisal Driver),66500.0,2024-04-26,2025-10-01,19
2172,Labour charges-Misc.,65886.0,2023-07-20,2025-09-30,17
6326,Vehicle POL -17-2347 Mess Safdar,65590.0,2023-07-04,2025-10-17,28
1988,Ploughing expenses,64150.0,2023-08-31,2025-08-19,5
3474,Misc.Expenses,63340.0,2023-07-13,2025-10-14,20
4643,Labour Charges,61810.0,2025-05-29,2025-06-30,2
6294,Vehicle Repair AGC-21-3251 Zakria,61265.0,2023-07-31,2025-09-30,19
2753,Irrigation Expenses,60632.0,2023-12-31,2023-12-31,1
6535,Discount on sale of Raya Seed,60500.0,2023-12-31,2025-05-31,4
5919,Purchase of Janter Seed,60000.0,2025-06-30,2025-06-30,1
2772,Ploughing Expenses,59850.0,2024-02-06,2024-02-06,1
3790,Pesticide expenses,59404.0,2025-03-31,2025-06-30,2
4184,Ploughing expenses,58737.0,2024-11-20,2025-10-06,5
2124,Misc.Expenses,56030.0,2024-01-31,2024-06-15,6
263,Telephone Exp-Rizwan Sb,56000.0,2023-07-08,2025-09-30,22
4246,Freight & Octroi-peas,55750.0,2024-12-07,2025-07-21,2
5034,Irrigation expenses,54791.0,2024-09-13,2024-11-28,3
6013,Vehicle Repair LE-7677 Akhtar Sb.,54040.0,2023-07-31,2023-12-12,6
2794,Labour charges,53640.0,2025-07-07,2025-08-31,2
5032,Ploughing expenses,53600.0,2024-09-16,2024-09-25,1
186,General Store Consumed,53126.0,2025-06-30,2025-06-30,1
3477,Social security-staff,53040.0,2024-07-31,2025-09-30,15
5180,Freight & Octroi,51700.0,2024-02-01,2024-06-30,5
3795,Pesticide Exp.,51697.0,2025-09-30,2025-09-30,1
2442,Fertilizer Expenses,51570.0,2025-09-30,2025-09-30,1
6178,Labour charges-silage,50912.0,2024-03-21,2025-07-24,12
269,Mark-up on Sauid-i-Pak Agri Invst.,50870.01,2025-03-31,2025-03-31,1
6336,Telephone Exp Aslam Sb,50449.0,2023-07-10,2025-10-16,27
3190,Abiyana Expenses,50445.0,2024-04-16,2024-06-21,2
3517,Freight & Octroi-SSg,50400.0,2024-03-28,2025-06-26,8
5930,Entertainment Expenses,49795.0,2024-11-28,2024-12-31,2
3129,Vehicle R&M POL & Repair,48535.0,2023-09-04,2025-05-16,9
6298,Telephone Exp Hassan Raza,47600.0,2023-07-22,2025-09-30,24
6295,Telephone Exp Zakria,47550.0,2023-07-31,2025-09-30,27
3143,Ploughing Expenses,46487.0,2023-08-09,2023-10-31,2
2779,Pesticide Expenses,46215.0,2024-03-31,2024-06-30,2
5130,Labour charges-micrunutreitn,45680.0,2024-12-31,2024-12-31,1
1199,Shifting charges - cotton seed,43804.0,2023-09-27,2023-09-27,1
5579,Micronutrient expenses,43000.0,2025-02-25,2025-02-25,1
5421,labour charges vanda,42920.0,2023-12-11,2025-08-25,5
3219,Ploughing expenses-okra,42912.0,2023-08-25,2025-06-30,2
2760,Ploughing Expenses,42250.0,2025-03-22,2025-03-22,1
6303,Vehicle RepairKWK-20-7778 Khaliq Da,42120.0,2023-09-02,2025-10-17,16
3330,Pesticide expenses,41108.0,2023-09-30,2023-12-31,2
3130,Misc expenses,40807.0,2023-07-15,2025-05-06,21
6484,Corn Seed,40733.0,2023-08-31,2023-09-02,2
4392,Fertilizer exp,40565.0,2024-06-30,2024-06-30,1
292,Telephone & Telex  (Factory),40340.0,2023-07-04,2025-10-10,26
5131,Labour charges-javi,39655.0,2023-07-20,2024-03-21,8
6566,Pesticide Expenses,39410.0,2024-03-31,2024-09-30,3
6350,Telephone Exp Akhtar Ali,38830.0,2023-07-31,2025-08-31,20
6305,Vehicle Repair 6793 Subhan Ali,38780.0,2023-08-17,2025-08-27,23
6331,Vehicle Repair AGC-21-3228 Rauf,38570.0,2023-09-07,2025-09-30,17
3546,Sesame seed,37890.0,2024-01-19,2024-01-19,1
4391,Labour charges-bursum,37881.0,2023-08-31,2025-09-19,11
6337,Telephone Exp Naveed,35855.0,2023-07-10,2025-09-29,25
6318,Vehicle POL GAQ-7345 Hassan Ayub,35700.0,2023-07-22,2024-04-30,9
1766,Electricity Expenses,35640.0,2023-09-04,2023-11-11,3
258,Travelling & Conveyance-Selling,35090.0,2023-07-08,2025-07-31,5
3781,Freight & Octroi-micronutrient,35000.0,2025-07-12,2025-09-25,2
3197,Irrigation Expenses,32950.0,2023-09-08,2023-12-02,4
2275,Labour charges-Okra,32807.0,2023-08-23,2025-09-30,16
6552,Seed Expenses,32500.0,2024-02-26,2024-03-21,2
239,Newspaper & Perodical,32455.0,2023-08-01,2025-10-03,23
4346,Lease expenses,32137.0,2023-09-30,2023-09-30,1
